DBN,SCHOOL NAME,Num of SAT Test Takers,SAT Critical Reading Avg. Score,SAT Math Avg. Score,SAT Writing Avg. Score,Num of AP Test Takers,Num of AP Total Exams Taken,Num of AP Exams Passed,schoolyear,grade9,grade10,grade11,grade12,ell_num,ell_percent,sped_num,sped_percent,asian_num,asian_per,black_num,black_per,hispanic_num,hispanic_per,white_num,white_per,male_num,male_per,female_num,female_per,ATS SYSTEM CODE,PRIMARY_ADDRESS_LINE_1,X_COORDINATE,Y_COORDINATE,COMMUNITY_DISTRICT,COUNCIL_DISTRICT,CENSUS_TRACT,BOROUGH_BLOCK_LOT,NTA,NTA_NAME,Location 1
14K478,"THE HIGH SCHOOL FOR ENTERPRISE, BUSINESS AND TECHNOLOGY",142,398,421,396,75,96,37,20112012,303,301,172,200,97.0,9.9,129.0,13.2,31,3.2,384,39.3,541,55.4,19,1.9,641.0,65.7,335.0,34.3,14K478,850 GRAND STREET,1001183.0,198368.0,301,34,48500,3030160001,BK78,Bushwick South                                                             ,"850 GRAND STREET
BROOKLYN, NY 11211
(40.711134, -73.938921)"
14K488,BROOKLYN PREPARATORY HIGH SCHOOL,42,367,373,350,49,62,s,20112012,130,118,90,62,11.0,2.7,75.0,18.8,7,1.7,235,58.7,151,37.7,4,1.0,191.0,47.7,209.0,52.2,14K488,257 NORTH  6 STREET,996776.0,199978.0,301,33,51900,3023300011,BK73,North Side-South Side                                                      ,"257 NORTH 6 STREET
BROOKLYN, NY 11211
(40.715561, -73.954815)"
14K558,WILLIAMSBURG HIGH SCHOOL FOR ARCHITECTURE AND DESIGN,72,363,385,364,32,46,9,20112012,186,135,87,92,35.0,7.0,88.0,17.6,7,1.4,192,38.4,286,57.2,11,2.2,363.0,72.6,137.0,27.4,14K558,257 NORTH  6 STREET,996776.0,199978.0,301,33,51900,3023300011,BK73,North Side-South Side                                                      ,"257 NORTH 6 STREET
BROOKLYN, NY 11211
(40.715561, -73.954815)"
14K561,WILLIAMSBURG PREPARATORY SCHOOL,113,397,410,380,54,61,28,20112012,157,158,138,124,16.0,2.8,73.0,12.7,9,1.6,147,25.5,355,61.5,64,11.1,294.0,51.0,283.0,49.0,14K561,257 NORTH  6 STREET,996776.0,199978.0,301,33,51900,3023300011,BK73,North Side-South Side                                                      ,"257 NORTH 6 STREET
BROOKLYN, NY 11211
(40.715561, -73.954815)"
14K586,LYONS COMMUNITY SCHOOL,31,371,377,355,s,s,s,20112012,105,83,73,55,77.0,14.6,116.0,22.0,6,1.1,220,41.7,288,54.6,11,2.1,283.0,53.7,244.0,46.3,14K586,223 GRAHAM AVENUE,999647.0,197868.0,301,34,50500,3030250001,BK90,East Williamsburg                                                          ,"223 GRAHAM AVENUE
BROOKLYN, NY 11206
(40.709765, -73.944463)"
14K610,AUTOMOTIVE HIGH SCHOOL,94,367,376,350,s,s,s,20112012,245,217,164,97,34.0,4.7,219.0,30.3,10,1.4,478,66.1,218,30.2,12,1.7,691.0,95.6,32.0,4.4,14K610,50 BEDFORD AVENUE,997187.0,202123.0,301,33,51700,3026700001,BK73,North Side-South Side                                                      ,"50 BEDFORD AVENUE
BROOKLYN, NY 11222
(40.721448, -73.953328)"
14K685,EL PUENTE ACADEMY FOR PEACE AND JUSTICE,28,359,335,341,s,s,s,20112012,75,51,48,44,37.0,17.0,51.0,23.4,4,1.8,22,10.1,191,87.6,1,0.5,93.0,42.7,125.0,57.3,14K685,250 HOOPER STREET,996521.0,196327.0,301,33,52900,3022070002,BK72,Williamsburg                                                               ,"250 HOOPER STREET
BROOKLYN, NY 11211
(40.70554, -73.955741)"
15K429,BROOKLYN SCHOOL FOR GLOBAL STUDIES,52,361,367,383,18,19,s,20112012,46,79,59,73,21.0,5.9,90.0,25.4,8,2.3,193,54.5,138,39.0,12,3.4,199.0,56.2,155.0,43.8,15K429,284 BALTIC STREET,986110.0,188843.0,306,33,6900,3004020001,BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           ,"284 BALTIC STREET
BROOKLYN, NY 11201
(40.685006, -73.993293)"
15K448,BROOKLYN SECONDARY SCHOOL FOR COLLABORATIVE STUDIES,76,393,399,387,s,s,s,20112012,103,98,83,81,31.0,4.5,202.0,29.2,30,4.3,237,34.2,333,48.1,87,12.6,409.0,59.1,283.0,40.9,15K448,610 HENRY STREET,983689.0,186823.0,306,39,6300,3003690001,BK33,Carroll Gardens-Columbia Street-Red Hook                                   ,"610 HENRY STREET
BROOKLYN, NY 11231
(40.679462, -74.002022)"
15K462,SECONDARY SCHOOL FOR LAW,59,398,411,394,35,50,19,20112012,111,126,102,89,30.0,6.3,60.0,12.7,12,2.5,295,62.4,140,29.6,26,5.5,209.0,44.2,264.0,55.8,15K462,237 7 AVENUE,990192.0,183105.0,306,39,15500,3010820001,BK37,Park Slope-Gowanus                                                         ,"237 7 AVENUE
BROOKLYN, NY 11215
(40.669255, -73.97858)"
15K463,SECONDARY SCHOOL FOR JOURNALISM,58,397,391,381,9,9,s,20112012,74,80,77,65,56.0,16.7,45.0,13.4,31,9.2,141,42.0,145,43.2,18,5.4,142.0,42.3,194.0,57.7,15K463,237 7 AVENUE,990192.0,183105.0,306,39,15500,3010820001,BK37,Park Slope-Gowanus                                                         ,"237 7 AVENUE
BROOKLYN, NY 11215
(40.669255, -73.97858)"
15K464,PARK SLOPE COLLEGIATE,72,379,416,380,s,s,s,20112012,87,94,37,83,38.0,9.6,65.0,16.5,34,8.6,131,33.2,204,51.8,21,5.3,208.0,52.8,186.0,47.2,15K464,237 7 AVENUE,990192.0,183105.0,306,39,15500,3010820001,BK37,Park Slope-Gowanus                                                         ,"237 7 AVENUE
BROOKLYN, NY 11215
(40.669255, -73.97858)"
15K497,SCHOOL FOR INTERNATIONAL STUDIES,64,405,415,392,26,27,s,20112012,89,94,60,89,71.0,14.6,74.0,15.2,30,6.2,199,40.9,189,38.9,68,14.0,247.0,50.8,239.0,49.2,15K497,284 BALTIC STREET,986110.0,188843.0,306,33,6900,3004020001,BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           ,"284 BALTIC STREET
BROOKLYN, NY 11201
(40.685006, -73.993293)"
15K519,COBBLE HILL SCHOOL OF AMERICAN STUDIES,77,398,402,385,64,72,s,20112012,232,168,145,118,50.0,7.5,125.0,18.9,34,5.1,474,71.5,139,21.0,15,2.3,291.0,43.9,372.0,56.1,15K519,347 BALTIC STREET,986778.0,188793.0,306,33,6900,3003970011,BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           ,"347 BALTIC STREET
BROOKLYN, NY 11201
(40.684869, -73.990884)"
15K529,WEST BROOKLYN COMMUNITY HIGH SCHOOL,s,s,s,s,s,s,s,20112012,    ,171,30,12,5.0,2.3,16.0,7.5,19,8.9,20,9.4,138,64.8,36,16.9,125.0,58.7,88.0,41.3,15K529,1053 41ST STREET,986428.0,173400.0,312,39,11000,3055870038,BK34,Sunset Park East                                                           ,"1053 41ST STREET
BROOKLYN, NY 11219
(40.642619, -73.992151)"
15K656,BROOKLYN HIGH SCHOOL OF THE ARTS,141,426,421,411,44,61,22,20112012,157,220,149,152,1.0,0.1,49.0,7.2,12,1.8,519,76.5,129,19.0,15,2.2,230.0,33.9,448.0,66.1,15K656,345 DEAN STREET,989723.0,188459.0,302,33,3900,3001920013,BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           ,"345 DEAN STREET
BROOKLYN, NY 11217
(40.683951, -73.980266)"
15K667,SUNSET PARK HIGH SCHOOL,s,s,s,s,s,s,s,20112012,340,325,323,    ,142.0,14.4,220.0,22.3,46,4.7,77,7.8,798,80.8,66,6.7,501.0,50.7,487.0,49.3,15K667,153 35TH STREET,983045.0,178123.0,307,38,8400,3006880026,BK32,Sunset Park West                                                           ,"153 35TH STREET
BROOKLYN, NY 11232
(40.655583, -74.004342)"
15K698,SOUTH BROOKLYN COMMUNITY HIGH SCHOOL,8,430,416,425,s,s,s,20112012,49,56,32,12,3.0,2.0,9.0,6.0,1,0.7,32,21.5,108,72.5,6,4.0,67.0,45.0,82.0,55.0,15K698,173 CONOVER STREET,980298.0,186209.0,306,38,5300,0,BK33,Carroll Gardens-Columbia Street-Red Hook                                   ,"173 CONOVER STREET
BROOKLYN, NY 11231
(40.677968, -74.014363)"
16K455,BOYS AND GIRLS HIGH SCHOOL,131,365,370,362,s,s,s,20112012,234,343,498,556,40.0,2.5,335.0,20.5,8,0.5,1468,90.0,127,7.8,12,0.7,1006.0,61.7,625.0,38.3,16K455,1700 FULTON STREET,1003221.0,186472.0,303,36,27100,3017010001,BK61,Crown Heights North                                                        ,"1700 FULTON STREET
BROOKLYN, NY 11213
(40.678478, -73.931604)"
16K498,BROOKLYN HIGH SCHOOL FOR LAW AND TECHNOLOGY,46,362,372,358,47,63,s,20112012,123,107,87,88,19.0,4.7,84.0,20.7,4,1.0,295,72.8,101,24.9,0,0.0,209.0,51.6,196.0,48.4,16K498,1396 BROADWAY,1006269.0,190089.0,303,41,37500,3014820001,BK35,Stuyvesant Heights                                                         ,"1396 BROADWAY
BROOKLYN, NY 11221
(40.688399, -73.920603)"
16K594,GOTHAM PROFESSIONAL ARTS ACADEMY,36,370,372,351,s,s,s,20112012,98,78,65,53,7.0,2.4,51.0,17.3,3,1.0,231,78.6,57,19.4,2,0.7,127.0,43.2,167.0,56.8,16K594,265 RALPH AVENUE,1006134.0,187116.0,303,41,37900,3015180001,BK35,Stuyvesant Heights                                                         ,"265 RALPH AVENUE
BROOKLYN, NY 11233
(40.680239, -73.921099)"
16K688,THE BROOKLYN ACADEMY OF GLOBAL FINANCE,s,s,s,s,s,s,s,20112012,54,61,44,    ,10.0,6.3,33.0,20.8,3,1.9,118,74.2,33,20.8,4,2.5,82.0,51.6,77.0,48.4,16K688,125 STUYVESANT AVENUE,1003037.0,191204.0,303,36,29100,3016160001,BK35,Stuyvesant Heights                                                         ,"125 STUYVESANT AVENUE
BROOKLYN, NY 11221
(40.691467, -73.932254)"
17K382,ACADEMY FOR COLLEGE PREPARATION AND CAREER EXPLORATION: A COLLEGE BOARD SCHOOL,59,396,374,369,29,36,8,20112012,135,116,86,49,28.0,5.0,61.0,10.8,1,0.2,520,92.0,38,6.7,6,1.1,304.0,53.8,261.0,46.2,17K382,911 FLATBUSH AVENUE,996134.0,175947.0,314,40,79400,3051030010,BK95,Erasmus                                                                    ,"911 FLATBUSH AVENUE
BROOKLYN, NY 11226
(40.649602, -73.957173)"
17K408,ACADEMY OF HOSPITALITY AND TOURISM,57,352,342,351,33,33,s,20112012,101,113,51,54,41.0,12.9,49.0,15.4,5,1.6,269,84.3,41,12.9,3,0.9,159.0,49.8,160.0,50.2,17K408,911 FLATBUSH AVENUE,996134.0,175947.0,314,40,79400,3051030010,BK95,Erasmus                                                                    ,"911 FLATBUSH AVENUE
BROOKLYN, NY 11226
(40.649602, -73.957173)"
17K489,W.E.B. DUBOIS ACADEMIC HIGH SCHOOL,7,394,364,334,s,s,s,20112012,11,82,51,55,1.0,0.5,22.0,11.1,2,1.0,186,93.5,8,4.0,1,0.5,91.0,45.7,108.0,54.3,17K489,402 EASTERN PARKWAY,996681.0,183219.0,309,35,32300,3012670001,BK63,Crown Heights South                                                        ,"402 EASTERN PARKWAY
BROOKLYN, NY 11225
(40.669561, -73.955188)"
17K524,INTERNATIONAL HIGH SCHOOL AT PROSPECT HEIGHTS,71,287,335,291,s,s,s,20112012,97,97,96,111,365.0,91.0,4.0,1.0,114,28.4,117,29.2,112,27.9,57,14.2,237.0,59.1,164.0,40.9,17K524,883 CLASSON AVENUE,995155.0,183307.0,309,35,21300,3011870001,BK63,Crown Heights South                                                        ,"883 CLASSON AVENUE
BROOKLYN, NY 11225
(40.669805, -73.960689)"
17K528,THE HIGH SCHOOL FOR GLOBAL CITIZENSHIP,46,403,385,388,s,s,s,20112012,79,94,87,83,18.0,5.2,46.0,13.4,5,1.5,306,89.2,25,7.3,5,1.5,172.0,50.1,171.0,49.9,17K528,883 CLASSON AVENUE,995155.0,183307.0,309,35,21300,3011870001,BK63,Crown Heights South                                                        ,"883 CLASSON AVENUE
BROOKLYN, NY 11225
(40.669805, -73.960689)"
17K531,"SCHOOL FOR HUMAN RIGHTS, THE",35,348,381,359,7,7,s,20112012,70,63,57,61,24.0,6.2,58.0,15.0,3,0.8,343,88.9,32,8.3,6,1.6,199.0,51.6,187.0,48.4,17K531,600 KINGSTON AVENUE,999832.0,179253.0,309,40,81000,3048110001,BK60,Prospect Lefferts Gardens-Wingate                                          ,"600 KINGSTON AVENUE
BROOKLYN, NY 11203
(40.658671, -73.943839)"
17K537,HIGH SCHOOL FOR YOUTH AND COMMUNITY DEVELOPMENT AT ERASMUS,73,338,349,340,11,11,s,20112012,114,105,83,83,35.0,9.1,61.0,15.8,4,1.0,336,87.3,35,9.1,4,1.0,237.0,61.6,148.0,38.4,17K537,911 FLATBUSH AVENUE,996134.0,175947.0,314,40,79400,3051030010,BK95,Erasmus                                                                    ,"911 FLATBUSH AVENUE
BROOKLYN, NY 11226
(40.649602, -73.957173)"
17K539,HIGH SCHOOL FOR SERVICE & LEARNING AT ERASMUS,61,362,375,368,s,s,s,20112012,112,125,93,92,37.0,8.8,81.0,19.2,9,2.1,367,87.0,38,9.0,7,1.7,267.0,63.3,155.0,36.7,17K539,911 FLATBUSH AVENUE,996134.0,175947.0,314,40,79400,3051030010,BK95,Erasmus                                                                    ,"911 FLATBUSH AVENUE
BROOKLYN, NY 11226
(40.649602, -73.957173)"
17K543,"SCIENCE, TECHNOLOGY AND RESEARCH EARLY COLLEGE HIGH SCHOOL AT ERASMUS",69,457,462,441,24,24,s,20112012,76,84,81,72,0.0,0.0,12.0,2.3,16,3.1,437,83.9,49,9.4,7,1.3,276.0,53.0,245.0,47.0,17K543,911 FLATBUSH AVENUE,996134.0,175947.0,314,40,79400,3051030010,BK95,Erasmus                                                                    ,"911 FLATBUSH AVENUE
BROOKLYN, NY 11226
(40.649602, -73.957173)"
17K546,HIGH SCHOOL FOR PUBLIC SERVICE: HEROES OF TOMORROW,79,418,441,414,86,115,10,20112012,114,122,98,83,2.0,0.5,17.0,4.1,15,3.6,344,82.5,51,12.2,3,0.7,104.0,24.9,313.0,75.1,17K546,600 KINGSTON AVENUE,999832.0,179253.0,309,40,81000,3048110001,BK60,Prospect Lefferts Gardens-Wingate                                          ,"600 KINGSTON AVENUE
BROOKLYN, NY 11203
(40.658671, -73.943839)"
17K547,BROOKLYN ACADEMY OF SCIENCE AND THE ENVIRONMENT,63,388,382,373,38,60,s,20112012,166,145,75,85,32.0,6.8,56.0,11.9,19,4.0,375,79.6,67,14.2,7,1.5,256.0,54.4,215.0,45.6,17K547,883 CLASSON AVENUE,995155.0,183307.0,309,35,21300,3011870001,BK63,Crown Heights South                                                        ,"883 CLASSON AVENUE
BROOKLYN, NY 11225
(40.669805, -73.960689)"
17K548,BROOKLYN SCHOOL FOR MUSIC & THEATRE,48,385,393,373,s,s,s,20112012,125,120,77,90,2.0,0.5,50.0,12.1,4,1.0,341,82.8,63,15.3,4,1.0,135.0,32.8,277.0,67.2,17K548,883 CLASSON AVENUE,995155.0,183307.0,309,35,21300,3011870001,BK63,Crown Heights South                                                        ,"883 CLASSON AVENUE
BROOKLYN, NY 11225
(40.669805, -73.960689)"
17K568,BROWNSVILLE ACADEMY HIGH SCHOOL,16,372,356,335,s,s,s,20112012,    ,96,69,58,7.0,3.1,19.0,8.5,3,1.3,188,84.3,22,9.9,3,1.3,84.0,37.7,139.0,62.3,17K568,1150 EAST NEW YORK AVENUE,1005367.0,182019.0,316,41,90000,3035080012,BK81,Brownsville                                                                ,"1150 EAST NEW YORK AVENUE
BROOKLYN, NY 11212
(40.666251, -73.923881)"
17K590,MEDGAR EVERS COLLEGE PREPARATORY SCHOOL,165,476,481,479,343,588,156,20112012,239,243,213,171,0.0,0.0,5.0,0.5,10,0.9,1056,95.7,31,2.8,0,0.0,461.0,41.8,643.0,58.2,17K590,1186 CARROLL STREET,997615.0,182210.0,309,35,32100,3012890025,BK63,Crown Heights South                                                        ,"1186 CARROLL STREET
BROOKLYN, NY 11225
(40.66679, -73.951823)"
17K600,CLARA BARTON HIGH SCHOOL,259,425,413,413,128,195,56,20112012,490,522,273,323,134.0,8.3,205.0,12.7,29,1.8,1466,91.2,93,5.8,11,0.7,382.0,23.8,1226.0,76.2,17K600,901 CLASSON AVENUE,995155.0,183307.0,309,35,21300,3011870001,BK63,Crown Heights South                                                        ,"901 CLASSON AVENUE
BROOKLYN, NY 11225
(40.669805, -73.960689)"
17K751,ACADEMY FOR HEALTH CAREERS,s,s,s,s,s,s,s,20112012,111,27,    ,    ,11.0,8.0,21.0,15.2,5,3.6,112,81.2,19,13.8,2,1.4,38.0,27.5,100.0,72.5,17K751,150 ALBANY AVENUE,1001092.0,185533.0,308,36,31100,3012160046,BK61,Crown Heights North                                                        ,"150 ALBANY AVENUE
BROOKLYN, NY 11213
(40.675905, -73.939282)"
18K563,IT TAKES A VILLAGE ACADEMY,56,313,320,330,19,23,s,20112012,97,122,88,75,116.0,30.4,44.0,11.5,7,1.8,355,92.9,17,4.5,2,0.5,187.0,49.0,195.0,51.0,18K563,5800 TILDEN AVENUE,1005836.0,175271.0,317,45,93600,3047420001,BK96,Rugby-Remsen Village                                                       ,"5800 TILDEN AVENUE
BROOKLYN, NY 11203
(40.647728, -73.922212)"
18K566,BROOKLYN GENERATION SCHOOL,29,374,377,394,s,s,s,20112012,96,86,89,60,19.0,5.7,65.0,19.6,5,1.5,294,88.8,28,8.5,3,0.9,202.0,61.0,129.0,39.0,18K566,6565 FLATLANDS AVENUE,1007307.0,170435.0,318,46,95000,3079980005,BK50,Canarsie                                                                   ,"6565 FLATLANDS AVENUE
BROOKLYN, NY 11236
(40.634451, -73.916927)"
18K567,BROOKLYN THEATRE ARTS HIGH SCHOOL,54,383,358,377,s,s,s,20112012,118,108,88,68,19.0,5.0,71.0,18.6,2,0.5,322,84.3,49,12.8,8,2.1,138.0,36.1,244.0,63.9,18K567,6565 FLATLANDS AVENUE,1007307.0,170435.0,318,46,95000,3079980005,BK50,Canarsie                                                                   ,"6565 FLATLANDS AVENUE
BROOKLYN, NY 11236
(40.634451, -73.916927)"
18K569,KURT HAHN EXPEDITIONARY LEARNING SCHOOL,43,368,378,346,s,s,s,20112012,85,96,51,62,28.0,9.5,59.0,20.1,0,0.0,259,88.1,26,8.8,5,1.7,189.0,64.3,105.0,35.7,18K569,5800 TILDEN AVENUE,1005836.0,175271.0,317,45,93600,3047420001,BK96,Rugby-Remsen Village                                                       ,"5800 TILDEN AVENUE
BROOKLYN, NY 11203
(40.647728, -73.922212)"
18K576,VICTORY COLLEGIATE HIGH SCHOOL,63,387,377,379,11,21,s,20112012,85,80,74,86,17.0,5.2,54.0,16.6,1,0.3,304,93.5,19,5.8,0,0.0,159.0,48.9,166.0,51.1,18K576,6565 FLATLANDS AVENUE,1007307.0,170435.0,318,46,95000,3079980005,BK50,Canarsie                                                                   ,"6565 FLATLANDS AVENUE
BROOKLYN, NY 11236
(40.634451, -73.916927)"
18K578,BROOKLYN BRIDGE ACADEMY,17,384,362,351,s,s,s,20112012,45,46,64,62,6.0,2.8,24.0,11.1,2,0.9,191,88.0,20,9.2,2,0.9,127.0,58.5,90.0,41.5,18K578,6565 FLATLANDS AVENUE,1007307.0,170435.0,318,46,95000,3079980005,BK50,Canarsie                                                                   ,"6565 FLATLANDS AVENUE
BROOKLYN, NY 11236
(40.634451, -73.916927)"
18K617,HIGH SCHOOL FOR INNOVATION IN ADVERTISING AND MEDIA,37,404,393,386,s,s,s,20112012,86,98,77,49,25.0,8.1,56.0,18.1,4,1.3,266,85.8,33,10.6,4,1.3,206.0,66.5,104.0,33.5,18K617,1600 ROCKAWAY PARKWAY,1012391.0,172660.0,318,46,99000,3082220001,BK50,Canarsie                                                                   ,"1600 ROCKAWAY PARKWAY
BROOKLYN, NY 11236
(40.640543, -73.898601)"
18K629,CULTURAL ACADEMY FOR THE ARTS AND SCIENCES,33,393,395,381,6,6,s,20112012,118,91,21,69,23.0,7.7,55.0,18.4,4,1.3,259,86.6,34,11.4,2,0.7,154.0,51.5,145.0,48.5,18K629,5800 TILDEN AVENUE,1005836.0,175271.0,317,45,93600,3047420001,BK96,Rugby-Remsen Village                                                       ,"5800 TILDEN AVENUE
BROOKLYN, NY 11203
(40.647728, -73.922212)"
18K633,HIGH SCHOOL FOR MEDICAL PROFESSIONS,75,386,380,393,59,62,6,20112012,117,118,122,103,15.0,3.3,48.0,10.4,8,1.7,391,85.0,57,12.4,1,0.2,99.0,21.5,361.0,78.5,18K633,1600 ROCKAWAY PARKWAY,1012391.0,172660.0,318,46,99000,3082220001,BK50,Canarsie                                                                   ,"1600 ROCKAWAY PARKWAY
BROOKLYN, NY 11236
(40.640543, -73.898601)"
18K635,OLYMPUS ACADEMY,7,400,370,370,s,s,s,20112012,20,142,21,20,3.0,1.5,19.0,9.4,2,1.0,175,86.2,23,11.3,2,1.0,102.0,50.2,101.0,49.8,18K635,755 EAST  100 STREET,1015744.0,176912.0,305,42,105804,3044340001,BK93,Starrett City                                                              ,"755 EAST 100 STREET
BROOKLYN, NY 11236
(40.652203, -73.886499)"
18K637,ACADEMY FOR CONSERVATION AND THE ENVIRONMENT,35,363,381,367,s,s,s,20112012,99,81,49,45,19.0,6.9,46.0,16.8,6,2.2,230,83.9,33,12.0,4,1.5,150.0,54.7,124.0,45.3,18K637,6565 FLATLANDS AVENUE,1007307.0,170435.0,318,46,95000,3079980005,BK50,Canarsie                                                                   ,"6565 FLATLANDS AVENUE
BROOKLYN, NY 11236
(40.634451, -73.916927)"
18K642,URBAN ACTION ACADEMY,40,376,385,374,21,21,s,20112012,75,90,83,57,34.0,11.1,38.0,12.5,7,2.3,251,82.3,32,10.5,12,3.9,191.0,62.6,114.0,37.4,18K642,1600 ROCKAWAY PARKWAY,1012391.0,172660.0,318,46,99000,3082220001,BK50,Canarsie                                                                   ,"1600 ROCKAWAY PARKWAY
BROOKLYN, NY 11236
(40.640543, -73.898601)"
18K673,EAST BROOKLYN COMMUNITY HIGH SCHOOL,12,410,403,378,s,s,s,20112012,79,77,38,9,1.0,0.5,18.0,8.9,2,1.0,180,88.7,19,9.4,1,0.5,106.0,52.2,97.0,47.8,18K673,9517 KINGS HIGHWAY,1006263.0,179711.0,317,41,88600,3046500015,BK96,Rugby-Remsen Village                                                       ,"9517 KINGS HIGHWAY
BROOKLYN, NY 11212
(40.659914, -73.920658)"
19K409,EAST NEW YORK FAMILY ACADEMY,54,416,432,394,10,10,s,20112012,119,60,51,58,2.0,0.5,9.0,2.1,2,0.5,291,67.2,131,30.3,6,1.4,187.0,43.2,246.0,56.8,19K409,2057 LINDEN BOULEVARD,1015694.0,180155.0,305,42,110400,3043280015,BK82,East New York                                                              ,"2057 LINDEN BOULEVARD
BROOKLYN, NY 11207
(40.661104, -73.886664)"
19K502,FDNY HIGH SCHOOL FOR FIRE AND LIFE SAFETY,37,341,349,333,s,s,s,20112012,134,100,79,68,19.0,5.0,80.0,21.0,4,1.0,281,73.8,89,23.4,6,1.6,309.0,81.1,72.0,18.9,19K502,400 PENNSYLVANIA AVENUE,1013345.0,182252.0,305,42,115600,3037880001,BK85,East New York (Pennsylvania Ave)                                           ,"400 PENNSYLVANIA AVENUE
BROOKLYN, NY 11207
(40.666868, -73.895122)"
19K504,HIGH SCHOOL FOR CIVIL RIGHTS,47,363,349,342,8,10,s,20112012,110,102,95,94,39.0,9.7,65.0,16.2,8,2.0,298,74.3,89,22.2,4,1.0,218.0,54.4,183.0,45.6,19K504,400 PENNSYLVANIA AVENUE,1013345.0,182252.0,305,42,115600,3037880001,BK85,East New York (Pennsylvania Ave)                                           ,"400 PENNSYLVANIA AVENUE
BROOKLYN, NY 11207
(40.666868, -73.895122)"
19K507,PERFORMING ARTS AND TECHNOLOGY HIGH SCHOOL,61,380,386,383,s,s,s,20112012,167,147,80,59,22.0,4.9,89.0,19.6,3,0.7,369,81.5,79,17.4,0,0.0,233.0,51.4,220.0,48.6,19K507,400 PENNSYLVANIA AVENUE,1013345.0,182252.0,305,42,115600,3037880001,BK85,East New York (Pennsylvania Ave)                                           ,"400 PENNSYLVANIA AVENUE
BROOKLYN, NY 11207
(40.666868, -73.895122)"
19K510,WORLD ACADEMY FOR TOTAL COMMUNITY HEALTH HIGH SCHOOL,68,371,365,370,8,8,s,20112012,106,105,92,77,16.0,4.2,56.0,14.7,8,2.1,308,81.1,54,14.2,5,1.3,140.0,36.8,240.0,63.2,19K510,400 PENNSYLVANIA AVENUE,1013345.0,182252.0,305,42,115600,3037880001,BK85,East New York (Pennsylvania Ave)                                           ,"400 PENNSYLVANIA AVENUE
BROOKLYN, NY 11207
(40.666868, -73.895122)"
19K583,MULTICULTURAL HIGH SCHOOL,29,279,322,286,9,9,s,20112012,75,115,99,117,384.0,94.6,4.0,1.0,0,0.0,1,0.2,405,99.8,0,0.0,202.0,49.8,204.0,50.2,19K583,999 JAMAICA AVENUE,1020493.0,191783.0,305,37,118000,3040940001,BK99,park-cemetery-etc-Brooklyn                                                 ,"999 JAMAICA AVENUE
BROOKLYN, NY 11208
(40.693002, -73.869305)"
19K615,TRANSIT TECH CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,182,395,418,380,64,71,6,20112012,448,366,241,262,32.0,2.4,187.0,14.2,58,4.4,928,70.5,306,23.2,20,1.5,1107.0,84.1,210.0,15.9,19K615,1 WELLS STREET,1018830.0,186599.0,305,37,119600,3041550075,BK82,East New York                                                              ,"1 WELLS STREET
BROOKLYN, NY 11208
(40.67878, -73.875328)"
19K618,ACADEMY OF INNOVATIVE TECHNOLOGY,60,371,371,354,19,19,s,20112012,156,66,103,79,49.0,12.1,78.0,19.3,30,7.4,155,38.4,203,50.2,12,3.0,284.0,70.3,120.0,29.7,19K618,999 JAMAICA AVENUE,1020493.0,191783.0,305,37,118000,3040940001,BK99,park-cemetery-etc-Brooklyn                                                 ,"999 JAMAICA AVENUE
BROOKLYN, NY 11208
(40.693002, -73.869305)"
19K639,BROOKLYN LAB SCHOOL,57,360,385,363,s,s,s,20112012,98,111,83,105,61.0,15.4,77.0,19.4,6,1.5,122,30.7,258,65.0,5,1.3,232.0,58.4,165.0,41.6,19K639,999 JAMAICA AVENUE,1020493.0,191783.0,305,37,118000,3040940001,BK99,park-cemetery-etc-Brooklyn                                                 ,"999 JAMAICA AVENUE
BROOKLYN, NY 11208
(40.693002, -73.869305)"
19K659,CYPRESS HILLS COLLEGIATE PREPARATORY SCHOOL,51,376,385,368,7,7,s,20112012,139,108,86,104,71.0,16.2,51.0,11.7,36,8.2,74,16.9,320,73.2,6,1.4,209.0,47.8,228.0,52.2,19K659,999 JAMAICA AVENUE,1020493.0,191783.0,305,37,118000,3040940001,BK99,park-cemetery-etc-Brooklyn                                                 ,"999 JAMAICA AVENUE
BROOKLYN, NY 11208
(40.693002, -73.869305)"
19K660,W. H. MAXWELL CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,74,370,369,363,s,s,s,20112012,130,131,155,174,31.0,5.3,157.0,26.6,3,0.5,424,71.9,150,25.4,4,0.7,176.0,29.8,414.0,70.2,19K660,145 PENNSYLVANIA AVENUE,1013105.0,184765.0,305,37,114400,3037040001,BK85,East New York (Pennsylvania Ave)                                           ,"145 PENNSYLVANIA AVENUE
BROOKLYN, NY 11207
(40.673766, -73.895976)"
